DATE_BEGIN;DATE_END;NAME
2010-10-23 00:00:00.000;2010-11-04 00:00:00.000;TOUSSAINT
2010-12-18 00:00:00.000;2011-01-03 00:00:00.000;NOEL
2011-02-12 00:00:00.000;2011-02-28 00:00:00.000;HIVER
2011-04-09 00:00:00.000;2011-04-26 00:00:00.000;PRINTEMPS
2011-07-02 00:00:00.000;2011-09-05 00:00:00.000;ETE
2011-10-22 00:00:00.000;2011-11-03 00:00:00.000;TOUSSAINT
2011-12-17 00:00:00.000;2012-01-03 00:00:00.000;NOEL
2012-02-18 00:00:00.000;2012-03-05 00:00:00.000;HIVER
2012-04-14 00:00:00.000;2012-04-30 00:00:00.000;PRINTEMPS
2012-07-05 00:00:00.000;2012-09-04 00:00:00.000;ETE
2012-10-27 00:00:00.000;2012-11-08 00:00:00.000;TOUSSAINT
2012-12-22 00:00:00.000;2013-01-07 00:00:00.000;NOEL
2013-03-02 00:00:00.000;2013-03-18 00:00:00.000;HIVER
2013-04-27 00:00:00.000;2013-05-13 00:00:00.000;PRINTEMPS
2013-07-04 00:00:00.000;2013-09-03 00:00:00.000;ETE
2013-10-19 00:00:00.000;2013-11-04 00:00:00.000;TOUSSAINT
2013-12-21 00:00:00.000;2014-01-06 00:00:00.000;NOEL
